Protocol,Field name,Description,Type,Versions
DHCP_2,dhcp.option.isns.discovery_domain_access,Discovery Domain Access flags,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.discovery_domain_access.enabled,Discovery Domain Enabled,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.discovery_domain_access.ifcp_target_port,iFCP Target Port,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.discovery_domain_access.initiator_target_port,iFCP Initiator Port,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.discovery_domain_access.iscsi_initiator,iSCSI Initiator,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.discovery_domain_access.iscsi_target,iSCSI Target,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.discovery_domain_access.reserved,Reserved Flags,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.discovery_domain_access_control.node,Control Node,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.functions,iSNS Functions,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.functions.dd_base_authorization,Discovery Domain based Authorization,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.functions.enabled,Function Fields Enabled,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.functions.reserved,Reserved flags,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.functions.sec_policy_distribution,Security Policy Distribution,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.heartbeat_originator_addr,Heartbeat Originator Address,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.ignored_bitfield,Enabled field is not set - non-zero bitmask ignored,Label,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.primary_server_addr,Primary Server Address,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.secondary_server_addr,Secondary Server Address,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.server_security_bitmap,iSNS Server Security Bitmap,Unsigned integer (32 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.server_security_bitmap.aggressive_mode,Aggressive Mode,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.server_security_bitmap.enabled,Server Security Bitmap Enabled,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.server_security_bitmap.ike_ipsec_enabled,IKE/IPSec,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.server_security_bitmap.main_mode,Main Mode,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.server_security_bitmap.pfs,PFS,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.server_security_bitmap.reserved,Reserved Flags,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.server_security_bitmap.transport_mode,Transport Mode,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.isns.server_security_bitmap.tunnel_mode,Tunnel Mode,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.length,Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.log_server,Log Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.lost_server_domain_name,LoST Server Domain Name,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.lpr_server,LPR Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.mask_supplier,Mask Supplier,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.max_datagram_reassembly_size,Maximum Datagram Reassembly Size,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.merit_dump_file,Merit Dump File,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.message,Message,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.mobile_ip_home_agent,Mobile IP Home Agent,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.mudurl,MUDURL,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.name_server,Name Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.netbios_over_tcpip_dd_name_server,NetBIOS over TCP/IP Datagram Distribution Name Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.netbios_over_tcpip_name_server,NetBIOS over TCP/IP Name Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.netbios_over_tcpip_node_type,NetBIOS over TCP/IP Node Type,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.netbios_over_tcpip_scope,NetBIOS over TCP/IP Scope,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.netinfo_parent_server_address,NetInfo Parent Server Address,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.netinfo_parent_server_tag,NetInfo Parent Server Tag,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.nis_domain,Network Information Service Domain,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.nis_plus_domain,Network Information Service+ Domain,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.nis_plus_server,Network Information Service+ Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.nis_server,Network Information Service Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.nntp_server,NNTP Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.non_local_source_routing,Non-Local Source Routing,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.nonstd_data,Non standard compliant option data,Label,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_ds_context,Novell Directory Services Context,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_ds_tree_name,Novell Directory Services Tree Name,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_dss.ip,IP Address,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_dss.string,Novell Directory Services Servers String,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_netware_ip_domain,Novell/Netware IP domain,Character string,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.autoretries,Autoretries,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.autoretry_delay,"Autoretry delay, sec",Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.broadcast,Broadcast for nearest Netware server,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.nearest_nwip_server,Nearest NWIP server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.preferred_dss_server,Preferred DSS server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.primary_dss,Primary DSS,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.suboption,Option 63 Suboption,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.support_netware_v1_1,Broadcast for nearest Netware server,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.value,Value,Byte sequence,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.value.address,Value,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.value.bool,Value,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.novell_options.value.uint,Value,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.ntp_server,Network Time Protocol Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.option.vi.cl.tag_unknown,Unknown tag,Label,3.0.0 to 4.2.2
DHCP_2,dhcp.option.option_overload,Option Overload,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.option_overload.file_end_missing,file overload end option missing,Label,3.0.0 to 4.2.2
DHCP_2,dhcp.option.option_overload.sname_end_missing,sname overload end option missing,Label,3.0.0 to 4.2.2
DHCP_2,dhcp.option.padding,Padding,Byte sequence,3.0.0 to 4.2.2
DHCP_2,dhcp.option.pana_agent,PAA IPv4 Address,IPv4 address,3.6.0 to 4.2.2
DHCP_2,dhcp.option.parse_err,Parse error,Label,3.0.0 to 4.2.2
DHCP_2,dhcp.option.path_mtu_aging_timeout,Path MTU Aging Timeout,Unsigned integer (32 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.path_mtu_plateau_table_item,Path MTU Plateau Table Item,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.pcp.list_length,List-Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.pcp.server,PCP Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.perform_mask_discovery,Perform Mask Discovery,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.perform_router_discover,Perform Router Discover,Boolean,3.0.0 to 4.2.2
DHCP_2,dhcp.option.policy_filter.ip,IP Address,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.policy_filter.subnet_mask,Subnet Mask,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.pop3_server,POP3 Server,IPv4 address,3.0.0 to 4.2.2
DHCP_2,dhcp.option.portparams.offset,Offset,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_2,dhcp.option.portparams.psid,PSID,Byte sequence,3.0.0 to 4.2.2
DHCP_3,dhcp.option.portparams.psid_length,PSID-Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.private_proxy_autodiscovery,Private/Proxy autodiscovery,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.pxe_config_file,PXELINUX configuration file,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.pxe_path_prefix,PXELINUX path prefix,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.quotes_server,Quotes Server,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.rdnss.domain,Domains and networks,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.rdnss.preference,Preference,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.rdnss.primary_dns,Primary DNS,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.rdnss.reserved,Reserved,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.rdnss.secondary_dns,Secondary DNS,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.rebinding_time_value,Rebinding Time Value,Unsigned integer (32 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.renewal_time_value,Renewal Time Value,Unsigned integer (32 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.request_list_item,Parameter Request List Item,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.requested_ip_address,Requested IP Address,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.resource_location_server,Resource Location Server,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.rfc3825.altitude,Altitude,Floating point (double-precision),3.0.0 to 4.2.2
DHCP_3,dhcp.option.rfc3825.altitude_res,Altitude resolution,Floating point (double-precision),3.4.0 to 4.2.2
DHCP_3,dhcp.option.rfc3825.altitude_type,Altitude type,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.rfc3825.error,Error,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.rfc3825.latitude,Latitude,Floating point (double-precision),3.0.0 to 4.2.2
DHCP_3,dhcp.option.rfc3825.latitude_res,Latitude resolution,Floating point (double-precision),3.0.0 to 4.2.2
DHCP_3,dhcp.option.rfc3825.longitude,Longitude,Floating point (double-precision),3.0.0 to 4.2.2
DHCP_3,dhcp.option.rfc3825.longitude_res,Longitude resolution,Floating point (double-precision),3.0.0 to 4.2.2
DHCP_3,dhcp.option.root_path,Root Path,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.router,Router,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.router_solicitation_address,Router Solicitation Address,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.sip_server.address,SIP Server Address,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.sip_server.encoding,SIP Server Encoding,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.sip_server.name,SIP Server Name,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.sip_server.refer_last_option,"For the data, please refer to last option 120",Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.sip_server.rfc_3396_detected,Encoding Long Options detected (RFC 3396),Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.sip_server_address.encoding,RFC 3361 defines only 0 and 1 for Encoding byte,Label,3.0.0 to 4.2.2
DHCP_3,dhcp.option.slp_directory_agent.slpda_address,IP Address,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.slp_directory_agent.value,Value,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.slp_service_scope.string,SLP Service Scope,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.slp_service_scope.value,Value,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.smtp_server,SMTP Server,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.static_route.ip,Destination IP Address,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.static_route.router,Destination Router,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.streettalk_da_server,StreetTalk Directory Assistance Server,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.streettalk_server,StreetTalk Server,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.subnet_mask,Subnet Mask,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.subnet_selection_option,Subnet Selection Option,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.suboption_length,Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.swap_server,Swap Server,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.tcp_default_ttl,TCP Default TTL,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.tcp_keepalive_garbage,TCP Keepalive Garbage,Boolean,3.0.0 to 4.2.2
DHCP_3,dhcp.option.tcp_keepalive_interval,TCP Keepalive Interval,Unsigned integer (32 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.tftp_server_address,TFTP Server Address,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.tftp_server_name,TFTP Server Name,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.time_offset,Time Offset,Signed integer (32 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.time_server,Time Server,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.trailer_encapsulation,Trailer Encapsulation,Boolean,3.0.0 to 4.2.2
DHCP_3,dhcp.option.type,Option,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.tz_pcode,TZ PCode,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.tz_tcode,TZ TCode,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.user_class,Instance of User Class,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.user_class.data,User Class Data,Byte sequence,3.0.0 to 4.2.2
DHCP_3,dhcp.option.user_class.length,User Class Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.user_class.text,User Class Data (Text),Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.value,Value,Byte sequence,3.0.0 to 4.2.2
DHCP_3,dhcp.option.value.address,Value,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.value.bool,Value,Boolean,3.0.0 to 4.2.2
DHCP_3,dhcp.option.value.int,Value,Signed integer (32 bits),3.0.0 to 4.0.12
DHCP_3,dhcp.option.value.string,Value,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.value.uint,Value,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.value.usecs,Value,Unsigned integer (32 bits),4.2.0 to 4.2.2
DHCP_3,dhcp.option.vendor.aerohive.unknown,Unknown,Byte sequence,3.4.0 to 4.2.2
DHCP_3,dhcp.option.vendor.aerohive.xiqhostname,HM FQDN,Character string,3.4.0 to 4.2.2
DHCP_3,dhcp.option.vendor.aerohive.xiqipaddress,HM IP,IPv4 address,3.4.0 to 4.2.2
DHCP_3,dhcp.option.vendor.alu.app_type,Application Type,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.alu.end,Alcatel End,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.alu.padding,Padding,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.alu.sip_url,SIP URL,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.alu.suboption,Option 43 Suboption,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.alu.tftp1,Spatial Redundancy TFTP1,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.alu.tftp2,Spatial Redundancy TFTP2,IPv4 address,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.alu.vid,Voice VLAN ID,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.arubaap.controllerip,Aruba Controller IP,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.arubaiap,Aruba Instant AP,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.arubaiap.amp_ip,AMP IP Address,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.arubaiap.name_org,Name Organisation,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.arubaiap.password,Password,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.avaya,Private/Avaya IP Telephone,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.avaya.dot1x,DOT1X,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.avaya.httpdir,HTTPDIR,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.avaya.httpsrvr,HTTPSRVR,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.avaya.icmpdu,ICMPDU,Character string,3.0.0 to 4.2.2
DHCP_3,dhcp.option.vendor.avaya.icmpred,ICMPRED,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.l2q,L2Q,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.l2qvlan,L2QVLAN,Signed integer (32 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.l2qvlan.invalid,Option 242 (L2QVLAN) invalid,Label,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.loglocal,LOGLOCAL,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.mcipadd,MCIPADD,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.phy1stat,PHY1STAT,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.phy2stat,PHY2STAT,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.procpswd,PROCPSWD,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.procstat,PROCSTAT,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.snmpadd,SNMPADD,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.snmpstring,SNMPSTRING,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.static,STATIC,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.tlssrvr,TLSSRVR,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.vlantest,VLANTEST,Signed integer (32 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.avaya.vlantest.invalid,Option 242 (avaya vlantest) invalid,Label,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.attributes_filter_list,Boot Image Attributes Filter List,Byte sequence,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image.attribute,Boot Image Attribute,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image.attribute.install,Install,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image.attribute.kind,Kind,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image.attribute.reserved,Reserved,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image.desc,Boot Image Description,Byte sequence,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image.index,Boot Image Index,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image.name,Boot Image Name,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image.name_len,Boot Image Name Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image_list,Boot Image List,Byte sequence,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.boot_image_list_path,Boot Image List Path,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.default_boot_image_id,Default Boot Image ID,Unsigned integer (32 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.message_size,Message Size,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.message_type,Message Type,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.netboot_firmware,NetBoot 1.0 Firmware,Label,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.reply_port,Reply Port,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.selected_boot_image_id,Selected Boot Image ID,Unsigned integer (32 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.server_identifier,Server Identifier,IPv4 address,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.server_priority,Server Priority,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.suboption,Option 43 Suboption,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.bsdp.version,Version,Unsigned integer (16 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.apicuuid,APIC UUID,Character string,3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.clientint,Client Int,Character string,3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.fabricname,Fabricname,Character string,3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.model,Model,Character string,3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.nodeid,Node ID,Unsigned integer (32 bits),3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.serialno,SerialNo,Character string,3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.suboption,Option 43 Suboption,Unsigned integer (8 bits),3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.unknown,Unknown,Byte sequence,3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.unknown1,Unknown1,Unsigned integer (8 bits),3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.unknown10,Unknown10,Unsigned integer (32 bits),3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.unknown2,Unknown2,Unsigned integer (8 bits),3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.unknown3,Unknown3,Unsigned integer (16 bits),3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.unknown5,Unknown5,Unsigned integer (8 bits),3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cisco.unknown6,Unknown6,Unsigned integer (8 bits),3.2.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.address_realm,Address Realm,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.boot_rom_version,Boot ROM version,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.cablecard_capability,CableCARD Capability,Byte sequence,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.cm_ps_firmware_revision,CM/PS Firmware Revision,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.cm_ps_system_desc,CM/PS System Description,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.correlation_ID,Correlation ID,Unsigned integer (32 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.device_id_ca,Device Identification (CA),Byte sequence,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.device_id_x509,Device Identification (X.509),Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.device_type,Device Type,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.end,CL End,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.esafe_config_file_devices,eSafe Config File Devices,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.esafe_type,eSAFE Types,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.firewall_policy_file_version,Firewall Policy File Version,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.hardware_version,Hardware Version,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.model_number,Model Number,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.mta_mac_address,MTA MAC Address,Ethernet or other MAC address,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.oui_bytes,Organizationally Unique Identifier,Byte sequence,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.oui_string,Organizationally Unique Identifier,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.padding,Padding,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.serial_number,Serial Number,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.software_version,Software Version,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.suboption,Option 43 Suboption,Unsigned integer (8 bits),3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.suboption_request_list,Suboption Request List,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.vendor_name10,Vendor Name,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.vendor_name51,Vendor Name,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.cl.video_security_tape,Video Security Type,Character string,3.0.0 to 4.2.2
DHCP_4,dhcp.option.vendor.pxeclient.boot_item,boot item,Byte sequence,3.0.0 to 4.2.2
